========================================================================================================================
  МУЛЬТИВАЛЮТНЫЙ МУЛЬТИТАЙМФРЕЙМ-АНАЛИЗ
  Биржа: binance | 442 монет | 2026-07-05 11:50:57
========================================================================================================================

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Монета           5м    15м    30м     1ч     4ч     1д  Средняя Стакан  ИТОГО
  KNCUSDT      🔴47.1 🔴42.2 🔴36.7 🟠40.6 🟢52.1 🔴42.7    -0.7      ⚪      🔴
  KSMUSDT      🟡54.8 🟡48.7 🔴41.4 🟠40.5 🟢53.6 🔴41.3    +0.8      🟢      ⚪
  LAUSDT       🔴46.6 🔴43.4 🔴38.0 🔴32.4 🔴43.3 🔴33.8    -1.5      ⚪      🔴
  LAYERUSDT    🟡56.9 🟡48.3 🔴43.7 🔴41.6 🟠48.1 🔴45.4    +0.2      ⚪      ⚪
  LAZIOUSDT    🔴45.4 🔴41.6 🔴39.6 🔴39.9 🔴43.5 🔴32.8    -1.8      🔴      🔴
  LDOUSDT      🟡51.7 🟡49.3 🟠48.8 🟠51.0 🟢62.3 🟡51.0    +1.7      ⚪      ⚪
  LINEAUSDT    🔴46.9 🔴40.6 🔴38.2 🟠40.9 🟢54.3 🟡47.5    +0.2      ⚪      ⚪
  LINKUSDT     🟢61.4 🟡52.5 🔴45.3 🟠46.2 🟢59.6 🟡51.9    +1.7      ⚪      ⚪
  LISTAUSDT    🔴45.0 🔴41.0 🔴37.6 🟠36.7 🟢55.0 🔴45.4    -0.5      🔴      🔴
  LITEBUSDT    🔴41.3 🔴39.6 🟠42.5 🔴48.2 🔴35.1     --    -1.8      ⚪      🔴
  LPTUSDT      🔴46.5 🔴45.7 🔴44.0 🟠46.3 🟢54.3 🔴42.0    -0.2      ⚪      🔴
  LQTYUSDT     🟡52.5 🔴47.7 🔴41.7 🟠39.4 🟢52.0 🔴42.2    +0.2      🔴      ⚪
  LSKUSDT      🟡60.2 🟡48.5 🔴41.8 🟠40.7 🟢54.3 🟡47.5    +1.2      ⚪      ⚪
  LTCUSDT      🟢59.2 🟡53.2 🔴46.6 🟠47.2 🟢57.0 🟡50.6    +1.8      ⚪      ⚪
  LUMIAUSDT    🟢71.7 🟢73.5 🟢73.9 🟢79.2 🟢70.8 🟢61.0    +1.3      🔴      ⚪
  LUNAUSDT     🔴48.8 🔴43.4 🔴38.7 🟠37.7 🟢52.5 🔴44.5    -0.5      ⚪      🔴
  LUNCUSDT     🟡52.5 🔴41.5 🔴35.4 🔴33.2 🟠46.4 🔴42.9    -0.7      ⚪      🔴
  MAGICUSDT    🔴42.7 🔴43.6 🔴38.6 🟠42.4 🟢51.5 🔴43.8    -0.3      ⚪      🔴
  MANAUSDT     🟢61.3 🟡61.1 🟢56.3 🟢54.1 🟢61.9 🟡53.6    +2.5      ⚪      🟢
  MANTAUSDT    🟢67.3 🟡59.8 🟡52.0 🔴48.3 🔴43.1 🔴34.7    +0.7      ⚪      ⚪
  MANTRAUSDT   🟡54.3 🟡48.2 🔴39.7 🔴35.7 🟠47.0 🔴38.4    +0.0      ⚪      ⚪
  MASKUSDT     🟠48.2 🟢55.3 🟢56.0 🟢57.8 🟢63.5 🟡59.8    +2.5      ⚪      🟢
  MAVUSDT      🟡54.4 🔴42.5 🔴34.0 🔴36.6 🟠49.8 🔴41.7    -0.3      🔴      🔴
  MBLUSDT      🟢65.6 🟡56.5 🟢54.9 🟢55.2 🟢61.7 🟡50.3    +2.7      ⚪      🟢
  MEGAUSDT     🔴32.2 🔴41.5 🔴43.8 🟠44.8 🟢54.8 🟡46.9    -0.5      🟢      🔴
  MEMEUSDT     🟢80.1 🟡69.6 🟡60.1 🟡51.3 🟠48.9 🟢54.9    +1.8      ⚪      ⚪
  METABUSDT    🟡52.3 🟡51.1 🟡50.8 🟡50.4 🟢56.2     --    +2.4      🔴      🟢
  METISUSDT    🟡55.4 🔴46.6 🔴43.4 🟠43.6 🟢52.0 🔴46.3    +0.7      🔴      ⚪
  METUSDT      🔴32.4 🔴36.9 🔴30.9 🔴32.5 🟠44.7 🟢59.0    -0.8      ⚪      🔴
  MEUSDT       🔴37.6 🔴42.4 🔴38.1 🔴34.6 🟠46.5 🔴46.4    -1.7      🟢      🔴
  MINAUSDT     🟢66.8 🟡65.8 🟢62.2 🟢59.1 🟢69.5 🟡60.8    +2.5      ⚪      🟢
  MIRAUSDT     🟡66.1 🟡56.4 🟡52.5 🟢52.8 🟢63.8 🟡56.4    +2.7      🟢      🟢
  MITOUSDT     🟢61.3 🟢67.8 🟢64.4 🟢60.4 🟡55.3 🔴46.9    +2.2      ⚪      🟢
  MMTUSDT      🟡51.2 🔴40.9 🔴34.7 🔴30.3 🔴35.8 🟠47.7    -0.8      ⚪      🔴
  MORPHOUSDT   🟢53.9 🟢68.4 🟢71.1 🟡62.4 🟢53.5 🟢56.3    +2.3      ⚪      🟢
  MOVEUSDT     🔴43.1 🔴36.3 🔴36.9 🟠42.4 🟢55.4 🟡47.8    +0.0      🟢      ⚪
  MOVRUSDT     🔴44.7 🔴39.9 🟠42.8 🟠46.8 🟢58.8 🟡49.6    +0.3      🔴      ⚪
  MSFTBUSDT    🔴46.1 🟠48.4 🟠50.1 🟢51.4 🟢69.2     --    -0.2      ⚪      🔴
  MSTRBUSDT    🟢61.7 🟡56.2 🟢52.4 🟢54.6 🟢68.1     --    +2.6      ⚪      🟢
  MTLUSDT      🟡54.9 🔴44.8 🔴42.7 🟠45.2 🟢53.2 🔴43.0    +0.7      🔴      ⚪
  MUBARAKUSDT  🟢66.2 🟡56.1 🟡48.8 🟠48.0 🟢60.4 🟡56.6    +2.0      🔴      🟢
  MUBUSDT      🔴41.8 🟠43.4 🟠46.4 🟢52.4 🔴45.5     --    +0.0      🟢      ⚪
  NEARUSDT     🟡54.5 🔴45.8 🔴40.2 🟠39.4 🟠50.9 🟠48.1    -0.2      ⚪      🔴
  NEIROUSDT    🟢58.4 🟡54.2 🔴45.9 🔴42.9 🟠51.1 🔴46.2    +0.3      ⚪      ⚪
  NEOUSDT      🟢56.2 🟡48.2 🔴43.1 🟠42.9 🟢52.2 🔴36.8    +1.2      ⚪      ⚪
  NEWTUSDT     🟡52.9 🔴47.6 🔴43.5 🟠44.1 🟢55.6 🔴45.3    +0.7      ⚪      ⚪
  NEXOUSDT     🔴44.5 🔴34.3 🔴35.3 🟠37.9 🟠51.8 🔴47.3    -1.5      🔴      🔴
  NFPUSDT      🟠47.7 🟢52.2 🟢55.6 🟡57.5 🟡50.4 🔴49.3    +1.5      ⚪      ⚪
  NIGHTUSDT    🟡52.8 🔴41.2 🟠40.8 🟠48.0 🟢57.1 🟡54.1    +1.3      ⚪      ⚪
  NILUSDT      🟢64.7 🟡55.3 🔴45.9 🟠43.1 🟢53.0 🔴46.1    +1.2      ⚪      ⚪
  NMRUSDT      🔴39.9 🟠46.7 🟠49.7 🟢52.4 🟢60.4 🟢64.5    +0.5      ⚪      ⚪
  NOMUSDT      🟠50.1 🟡53.5 🟡51.0 🔴45.2 🟠52.1 🟡54.3    +1.2      ⚪      ⚪
  NOTUSDT      🟡51.4 🔴41.4 🟠40.0 🟠45.2 🟢59.1 🟡53.3    +1.3      🟢      ⚪
  NVDABUSDT    🟠48.6 🟢55.5 🟢57.5 🟢62.3 🟡55.0     --    +2.2      ⚪      🟢
  NXPCUSDT     🔴44.4 🔴39.5 🔴33.7 🔴27.4 🔴43.9 🔴36.5    -1.3      ⚪      🔴
  OGNUSDT      🔴45.5 🔴45.8 🟠46.3 🟠49.8 🟢66.0 🟡60.3    -0.2      🟢      🔴
  OGUSDT       🟢60.5 🟢55.4 🟢54.7 🟢54.6 🟡54.1 🔴45.1    +2.7      🟢      🟢
  ONDOUSDT     🔴44.9 🔴43.6 🔴39.6 🔴39.2 🟠49.2 🔴46.7    -1.2      🟢      🔴
  ONEUSDT      🟡56.1 🟡49.4 🔴44.6 🔴44.9 🟠50.2 🔴38.8    +0.3      ⚪      ⚪
  ONGUSDT      🟢56.4 🟢53.3 🟢54.2 🟢56.0 🟢64.7 🟡51.6    +3.0      🔴      🟢
  ONTUSDT      🟢64.0 🟡53.6 🟢50.1 🟢51.3 🟢62.3 🟡48.0    +2.7      🟢      🟢
  OPENUSDT     🟡66.3 🟡53.5 🟢50.9 🟢53.3 🟡54.5 🔴41.0    +1.7      ⚪      ⚪
  OPGUSDT      🟢63.4 🟢63.4 🟢58.4 🟢57.0 🟡54.1 🔴43.2    +2.5      ⚪      🟢
  OPNUSDT      🟡59.1 🟡50.9 🟠47.5 🟠49.9 🟢56.2 🔴39.2    +1.2      ⚪      ⚪
  OPUSDT       🟡51.1 🔴45.2 🔴42.5 🟠45.2 🟢60.8 🟡52.5    +1.0      ⚪      ⚪
  ORCAUSDT     🟡55.9 🟡48.8 🔴43.6 🟠43.4 🟢52.3 🟡53.2    +1.3      🟢      ⚪
  ORDIUSDT     🟡53.7 🔴44.9 🔴36.7 🔴30.5 🟠38.4 🔴48.0    -0.5      🟢      🔴
  OSMOUSDT     🔴46.4 🔴39.1 🔴36.5 🟠38.2 🔴50.7 🔴41.4    -1.7      🟢      🔴
  PARTIUSDT    🟡57.9 🔴46.2 🔴41.4 🟠41.2 🟡50.9 🔴45.6    +0.2      🟢      ⚪
  PAXGUSDT     🟢66.9 🟡59.0 🟢53.8 🟢54.0 🟢64.3 🟡49.6    +2.7      🔴      🟢
  PENDLEUSDT   🟡63.2 🟡51.3 🔴44.2 🔴40.8 🟠50.1 🟡54.2    +0.8      ⚪      ⚪
  PENGUUSDT    🟢55.5 🟡50.2 🔴43.4 🟠41.9 🟢53.3 🟡49.1    +1.5      ⚪      ⚪
  PEOPLEUSDT   🟢55.8 🟡54.8 🟡50.2 🟠49.4 🟢55.5 🟡48.3    +2.0      🔴      🟢
  PEPEUSDT     🔴45.1 🔴43.0 🔴41.3 🟠42.1 🟢58.9 🟡48.2    +0.3      🔴      ⚪
  PHAUSDT      🟢69.1 🟡53.5 🔴47.2 🔴44.6 🔴43.6 🔴30.3    +0.2      ⚪      ⚪
  PIVXUSDT     🟢51.6 🟢56.9 🟢62.2 🟢72.2 🟢67.7 🟡53.0    +2.7      ⚪      🟢
  PIXELUSDT    🔴37.7 🔴42.1 🟠45.6 🟠49.3 🟢57.0 🟡49.1    +0.0      ⚪      ⚪
  PLTRBUSDT    🟢60.5 🟢59.9 🟢64.6 🟢65.9 🟢74.8     --    +2.0      🔴      🟢
  PLUMEUSDT    🟡52.7 🔴46.1 🔴43.9 🟠44.4 🟢55.2 🟡48.6    +0.8      🟢      ⚪
  PNUTUSDT     🟢56.5 🟡58.1 🟡54.8 🟢52.1 🟢56.2 🟡51.8    +2.5      ⚪      🟢
  POLUSDT      🟡54.3 🟡48.6 🔴43.4 🟠42.8 🟢51.3 🔴42.4    +1.2      ⚪      ⚪
  POLYXUSDT    🟠46.3 🔴46.1 🔴42.9 🟠43.1 🟢51.5 🔴44.7    +0.0      ⚪      ⚪
  PONDUSDT     🔴35.1 🟠42.4 🟠45.9 🔴48.8 🔴48.5 🔴43.4    -1.2      ⚪      🔴
  PORTALUSDT   🟢82.4 🟡69.7 🟡59.6 🟢59.2 🟡55.6 🟠47.6    +1.7      ⚪      ⚪
  PORTOUSDT    🟠48.2 🔴46.8 🔴39.2 🔴37.9 🔴44.7 🔴32.4    -1.3      🔴      🔴
  POWRUSDT     🟢62.7 🟡56.5 🟡53.6 🟢51.6 🔴48.7 🔴43.8    +1.8      🔴      ⚪
  PROMUSDT     🔴31.5 🔴38.6 🟠40.9 🟠44.7 🟢53.7 🟡51.5    -0.2      ⚪      🔴
  PROVEUSDT    🟢55.4 🟡57.4 🟡54.3 🟢51.3 🟢54.5 🟡48.5    +3.2      ⚪      🟢
  PSGUSDT      🟢58.7 🟡56.4 🟢57.3 🟢55.1 🟡53.6 🔴36.3    +2.5      ⚪      🟢
  PUMPUSDT     🟡62.5 🟡50.7 🔴43.0 🔴39.3 🟠49.3 🟡51.9    +0.7      ⚪      ⚪
  PUNDIXUSDT   🟢57.4 🟡49.8 🔴44.6 🟠42.6 🔴47.1 🔴36.1    +0.8      ⚪      ⚪
  PYRUSDT      🟠37.2 🔴41.9 🔴43.0 🔴42.4 🔴37.9 🔴28.5    -1.7      🔴      🔴
  PYTHUSDT     🟢66.4 🟢66.1 🟢61.2 🟡59.8 🟢54.4 🟡56.6    +2.8      ⚪      🟢
  QIUSDT       🟢55.0 🟡57.9 🟡53.3 🟡49.3 🟢51.6 🔴44.7    +2.2      🔴      🟢
  QKCUSDT      🟢58.9 🟡60.0 🟢55.2 🟢53.8 🟢57.7 🔴42.2    +2.8      🟢      🟢
  QNTUSDT      🔴45.5 🔴41.0 🔴36.9 🟠37.6 🟠49.7 🔴47.4    -1.0      🟢      🔴
  QQQBUSDT     🟠42.1 🔴45.6 🟠46.0 🟠47.0 🔴45.4     --    -0.6      ⚪      🔴
  QTUMUSDT     🟡66.7 🟡52.3 🔴47.3 🟠48.3 🟢57.1 🟡47.5    +1.2      🟢      ⚪
  QUICKUSDT    🟡58.7 🟡53.2 🟡49.5 🟠48.1 🟢51.3 🔴49.2    +2.0      🟢      🟢
  RADUSDT      🟢55.1 🟡52.5 🔴48.0 🟠48.2 🟠51.0 🔴44.8    +0.8      🔴      ⚪
  RAREUSDT     🟡65.1 🟡51.3 🔴46.7 🟠45.5 🟢52.4 🔴45.9    +1.0      🔴      ⚪
  RAYUSDT      🔴46.3 🔴43.9 🔴41.4 🟠41.6 🟢57.3 🟡61.2    -0.2      🟢      🔴
  REDUSDT      🟢72.3 🟢72.6 🟢70.7 🟢76.6 🟢63.6 🟡53.3    +1.7      🟢      ⚪
  RENDERUSDT   🟠48.1 🔴49.0 🔴46.7 🟠46.5 🟢53.9 🔴45.8    +0.0      ⚪      ⚪
  REQUSDT      🟠48.0 🔴48.7 🟠47.3 🟠49.9 🟢63.0 🟡51.8    +0.8      ⚪      ⚪
  RESOLVUSDT   🟠45.2 🟠50.3 🟢54.4 🟢58.2 🟢57.5 🟡53.4    +1.8      ⚪      ⚪
  REUSDT       🔴35.5 🟠42.4 🟠47.1 🟠50.5 🔴49.6     --    -0.8      ⚪      🔴
  REZUSDT      🔴48.3 🔴44.1 🔴39.5 🟠40.3 🟠47.8 🔴41.5    -0.8      🔴      🔴
  RIFUSDT      🟢63.4 🟢66.7 🟢67.0 🟡61.6 🟢54.4 🟢58.1    +2.8      ⚪      🟢
  RLCUSDT      🟡58.1 🟡47.8 🔴42.1 🔴38.5 🟠48.4 🔴38.7    +0.2      🔴      ⚪
  RLUSDUSDT    🟠45.8 🟠49.8 🟢51.9 🟡52.5 🔴45.8 🟠47.8    +0.7      🔴      ⚪
  ROBOUSDT     🟡57.1 🟡50.3 🔴42.9 🔴36.7 🔴38.0 🔴34.8    -0.2      🟢      🔴
  RONINUSDT    🔴49.1 🔴47.6 🔴43.9 🟠39.5 🟢53.4 🔴46.7    -0.3      ⚪      🔴
  ROSEUSDT     🟡55.8 🟡48.3 🔴40.5 🔴39.7 🟠49.2 🔴39.4    +0.2      ⚪      ⚪
  RPLUSDT      🔴42.0 🔴41.6 🟠44.6 🟠51.2 🟢62.6 🟢63.8    +0.3      ⚪      ⚪
  RSRUSDT      🟠46.7 🔴47.0 🔴42.4 🟠43.2 🟢53.5 🔴41.2    +0.0      ⚪      ⚪
  RUNEUSDT     🟢69.6 🟡56.3 🟢52.7 🟢53.7 🟢63.0 🟡54.6    +3.0      🟢      🟢
  RVNUSDT      🔴47.7 🔴41.6 🔴38.7 🔴38.5 🔴45.9 🔴38.1    -1.8      ⚪      🔴
  SAGAUSDT     🔴39.2 🔴40.4 🔴40.5 🟠42.7 🟢52.6 🔴47.7    -0.7      🔴      🔴
  SAHARAUSDT   🟡51.7 🔴39.8 🔴36.9 🔴35.8 🔴43.9 🔴26.6    -0.8      🟢      🔴
  SANDUSDT     🟡56.2 🔴46.9 🔴43.7 🟠44.7 🟢55.6 🔴44.7    +0.3      🟢      ⚪
  SANTOSUSDT   🟡54.7 🔴44.3 🔴34.4 🔴35.6 🟠45.7 🔴37.6    -0.5      🔴      🔴
  SAPIENUSDT   🟠42.9 🟢51.7 🟢52.2 🟢54.3 🟢58.6 🔴46.4    +2.2      ⚪      🟢
  SCRTUSDT     🔴49.6 🔴47.3 🟠46.8 🟠49.1 🟡51.7 🔴38.4    -0.3      🔴      🔴
  SCRUSDT      🟡50.2 🔴43.0 🔴37.3 🔴32.6 🟠46.0 🔴39.5    -0.8      ⚪      🔴
  SCUSDT       🟡52.7 🔴46.1 🔴39.8 🟠42.4 🔴48.9 🔴31.5    -0.3      ⚪      🔴
  SEIUSDT      🔴38.4 🔴36.1 🔴35.1 🟠35.9 🔴45.0 🔴40.7    -2.2      ⚪     🔴🔴
  SENTUSDT     🟠37.5 🟠45.9 🟠52.1 🟢57.3 🟢61.1 🟡53.6    +1.0      🟢      ⚪
  SFPUSDT      🟠49.7 🔴47.5 🔴44.8 🟠47.1 🟢55.6 🔴47.2    -0.3      ⚪      🔴
  SHELLUSDT    🔴43.2 🔴44.0 🔴43.8 🟠44.9 🟢54.8 🔴45.7    -0.5      ⚪      🔴
  SHIBUSDT     🔴45.9 🔴38.5 🔴35.5 🟠37.7 🟠47.7 🔴37.3    -1.7      ⚪      🔴
  SIGNUSDT     🔴37.0 🔴41.3 🔴36.4 🔴36.8 🟠47.1 🔴40.8    -1.7      🔴      🔴
  SKLUSDT      🟠44.1 🔴45.5 🔴45.4 🟠46.7 🟡51.5 🔴33.2    -0.3      🔴      🔴
  SKYUSDT      🔴42.7 🔴38.1 🔴26.1 🔴20.4 🟠45.0 🔴46.6    -0.7      ⚪      🔴
  SLPUSDT      🔴45.6 🔴47.9 🔴46.3 🟠44.5 🟢53.4 🟡52.3    +0.7      ⚪      ⚪
  SNDKBUSDT    🟠51.1 🟢58.4 🟢63.7 🟡60.1 🔴39.1     --    +1.4      🔴      ⚪
  SNXUSDT      🟡54.1 🟡49.8 🔴44.6 🔴40.6 🟠50.4 🔴46.6    +0.2      ⚪      ⚪
  SOLUSDT      🔴48.9 🔴46.1 🔴39.4 🟠36.7 🟢54.7 🟡61.4    -0.2      ⚪      🔴
  SOLVUSDT     🔴46.9 🔴44.1 🔴43.3 🔴43.8 🟠49.8 🔴40.3    -0.8      🟢      🔴
  SOMIUSDT     🟢75.5 🟢71.7 🟢67.0 🟢65.4 🟢62.6 🟡46.9    +2.3      ⚪      🟢
  SOPHUSDT     🔴47.3 🔴44.1 🔴34.3 🟠37.9 🟠51.8 🔴40.1    -1.0      ⚪      🔴
  SPCXBUSDT    🟢72.0 🟢71.1 🟢74.1 🟢75.0 🟡53.1     --    +1.4      ⚪      ⚪
  SPELLUSDT    🔴48.8 🔴48.3 🟠47.6 🟠49.4 🟡51.1 🔴26.1    +0.0      ⚪      ⚪
  SPKUSDT      🟢51.2 🟡51.1 🔴49.5 🟠49.1 🟢54.1 🔴43.9    +1.0      ⚪      ⚪
  SSVUSDT      🟢56.7 🟡51.3 🔴43.7 🔴41.2 🔴47.8 🔴41.6    +0.2      ⚪      ⚪
  STEEMUSDT    🟢57.4 🟡51.0 🔴46.1 🟠48.5 🟢58.2 🔴45.9    +1.3      🟢      ⚪
  STGUSDT      🔴42.2 🔴43.2 🔴42.7 🔴41.7 🔴36.4 🔴40.5    -1.8      🟢      🔴
  STORJUSDT    🔴36.7 🔴44.3 🟠45.1 🟠48.3 🟢61.3 🟡50.2    -0.2      🟢      🔴
  STOUSDT      🟠35.8 🟠44.6 🟠48.8 🟢52.4 🟢59.2 🔴43.3    +1.0      🟢      ⚪
  STRAXUSDT    🟡55.9 🟡48.9 🔴45.2 🔴43.8 🔴45.5 🔴46.8    +0.0      ⚪      ⚪
  STRKUSDT     🟢59.2 🟡55.9 🔴46.3 🔴43.1 🟠51.0 🔴44.1    +0.7      ⚪      ⚪
  STXUSDT      🟡55.6 🟡48.1 🔴42.1 🟠41.2 🟠50.5 🔴41.1    +0.3      ⚪      ⚪
  SUIUSDT      🟢56.0 🟡49.2 🔴41.2 🟠39.5 🟠52.4 🟡49.2    +1.2      ⚪      ⚪
  SUNUSDT      🟢80.7 🟢81.3 🟢77.9 🟢73.1 🟢67.7 🟡50.6    +1.7      ⚪      ⚪
  SUPERUSDT    🔴45.5 🔴41.2 🔴34.7 🔴35.4 🟠47.5 🔴42.3    -1.2      ⚪      🔴
  SUSDT        🟢60.7 🟢60.4 🟢57.5 🟢56.5 🟢63.2 🟡48.3    +3.0      🟢      🟢
  SUSHIUSDT    🔴46.3 🔴44.2 🔴38.3 🟠39.8 🟢53.9 🔴44.7    -0.5      ⚪      🔴
  SXTUSDT      🔴43.7 🔴36.5 🔴37.4 🟠40.3 🟢53.9 🔴41.5    -0.8      ⚪      🔴
  SYNUSDT      🟢70.8 🟡63.2 🟡54.0 🔴45.7 🟠40.3 🟢58.4    +1.2      ⚪      ⚪
  SYRUPUSDT    🟡66.3 🟡54.7 🟡48.9 🟠46.6 🟢56.6 🟡58.6    +2.0      ⚪      🟢
  TAOUSDT      🟠49.0 🔴47.4 🔴43.9 🟠43.1 🟢52.2 🔴44.1    +0.0      🟢      ⚪
  TFUELUSDT    🟡50.8 🔴44.3 🔴40.7 🟠43.9 🟢59.0 🔴44.4    +0.7      ⚪      ⚪
  THETAUSDT    🔴43.3 🔴37.4 🔴32.4 🟠34.7 🟠52.0 🔴42.1    -1.2      ⚪      🔴
  THEUSDT      🟠44.2 🔴48.4 🔴46.3 🟠45.3 🟢52.2 🟡47.7    +0.8      ⚪      ⚪
  TIAUSDT      🟠49.9 🟡49.6 🔴46.9 🟠45.9 🟢53.7 🟢54.7    +1.2      ⚪      ⚪
  TKOUSDT      🟢53.7 🟡52.7 🔴47.1 🔴45.0 🔴46.8 🔴41.7    +0.2      🔴      ⚪
  TLMUSDT      🟢52.9 🟢64.2 🟢63.3 🟢57.8 🟢62.1 🟢84.1    +2.7      🟢      🟢
  TNSRUSDT     🟡51.5 🟡49.7 🔴47.9 🔴47.5 🔴48.3 🔴49.7    +0.0      ⚪      ⚪
  TOWNSUSDT    🟠50.2 🟢51.9 🟢51.7 🟢53.9 🟢63.5 🟡47.5    +2.2      🟢      🟢
  TRBUSDT      🔴42.1 🔴43.4 🟠43.4 🟠46.1 🟢66.7 🟡64.2    +0.2      🟢      ⚪
  TREEUSDT     🔴40.4 🔴41.0 🔴36.9 🔴38.3 🟠47.1 🔴40.0    -1.5      ⚪      🔴
  TRUMPUSDT    🔴31.1 🔴20.6 🔴21.0 🟠26.4 🟠42.0 🔴44.0    -0.7      ⚪      🔴
  TRXUSDT      🟢53.7 🟡51.5 🟠49.2 🟢54.2 🟢64.5 🟡50.1    +2.3      ⚪      🟢
  TSLABUSDT    🟢58.3 🟢61.9 🟢69.9 🟢71.8 🟢54.3     --    +2.6      🔴      🟢
  TSTUSDT      🟢63.3 🟡56.9 🟡49.7 🟠47.8 🟢54.4 🔴42.1    +2.0      🔴      🟢
  TURBOUSDT    🟢68.1 🟢67.4 🟡62.2 🟢59.0 🟢60.5 🟡53.1    +3.0      🟢      🟢
  TURTLEUSDT   🔴43.5 🔴41.1 🔴38.1 🟠35.0 🟠51.5 🟡50.1    -0.5      🔴      🔴
  TUSDT        🟡60.8 🟡47.1 🔴37.1 🟠37.2 🟠50.1 🔴42.9    +0.2      ⚪      ⚪
  TUSDUSDT     🟢63.1 🟢54.9 🟢55.8 🟢56.5 🟡56.5 🔴47.7    +2.3      🟢      🟢
  TUTUSDT      🟢77.2 🟡58.9 🟡48.1 🟠46.2 🟢55.6 🟡56.9    +1.8      🔴      ⚪
  TWTUSDT      🟡50.9 🔴46.5 🔴40.5 🔴40.2 🔴39.1 🔴36.0    -0.8      ⚪      🔴
  UMAUSDT      🟢83.9 🟡57.1 🟡49.7 🟠48.3 🟢55.0 🔴47.3    +1.3      ⚪      ⚪
  UNIUSDT      🟢63.1 🟡57.1 🟡52.1 🟠49.5 🟢59.6 🟡61.0    +2.0      🟢      🟢
  USD1USDT     🟢58.0 🟡59.1 🟡55.4 🟡49.7 🔴42.5 🟠38.1    +1.8      ⚪      ⚪
  USDCUSDT     🔴47.2 🟠48.4 🔴49.3 🔴45.6 🔴40.8 🟠45.9    -1.0      ⚪      🔴
  USDEUSDT     🟢57.6 🟡54.9 🟡52.4 🟡49.8 🔴48.8 🔴43.0    +1.5      🔴      ⚪
  USDPUSDT     🟠26.2 🔴37.9 🔴38.5 🔴40.5 🔴40.4 🟠44.2    -1.5      ⚪      🔴
  USDSUSDT     🟢56.0 🟡55.2 🟡53.5 🟡51.6 🔴44.1 🟠48.2    +2.0      ⚪      🟢
  USTCUSDT     🟢64.4 🟡61.0 🟡58.2 🟢54.1 🟢56.6 🟡49.5    +2.2      🔴      🟢
  USUALUSDT    🔴32.2 🔴37.0 🔴34.6 🔴35.2 🟠47.6 🔴42.2    -1.8      ⚪      🔴
  UUSDT        🔴48.0 🟡56.2 🟡52.7 🟢51.4 🟡50.8 🟠50.4    +1.3      ⚪      ⚪
  VANAUSDT     🔴43.5 🔴43.5 🔴41.1 🟠43.1 🟢55.9 🟡50.8    +0.0      ⚪      ⚪
  VANRYUSDT    🟡52.1 🟢51.2 🟢53.7 🟢60.3 🟢71.6 🟡75.0    +1.5      ⚪      ⚪
  VELODROMEUSDT 🟠45.0 🟠50.4 🟢51.5 🟢54.6 🟢65.8 🟢70.2    +1.3      🟢      ⚪
  VETUSDT      🟡59.2 🟡48.7 🔴43.7 🟠44.9 🟢55.5 🔴44.8    +0.8      🟢      ⚪
  VICUSDT      🟠47.0 🟢52.6 🟢54.4 🟢54.1 🟢56.2 🟡51.8    +2.7      ⚪      🟢
  VIRTUALUSDT  🟢55.9 🟡61.4 🟡56.5 🟢51.1 🟢53.6 🔴46.0    +2.2      ⚪      🟢
  VTHOUSDT     🟢64.6 🟡51.6 🔴43.1 🔴41.7 🟠49.6 🔴41.0    +0.5      ⚪      ⚪
  WALUSDT      🟡53.1 🔴45.6 🔴38.8 🔴33.8 🟠47.4 🔴39.8    -0.8      ⚪      🔴
  WAXPUSDT     🔴47.0 🔴42.3 🔴31.4 🔴31.1 🟠46.6 🔴42.4    -0.8      ⚪      🔴
  WBETHUSDT    🟢56.7 🟡52.9 🟢49.3 🟠51.3 🟢66.1 🟡56.0    +2.0      🟢      🟢
  WBTCUSDT     🟢58.1 🟡55.5 🟢52.9 🟢54.6 🟢64.1 🟡49.3    +2.8      ⚪      🟢
  WCTUSDT      🔴47.8 🔴46.3 🔴41.8 🔴39.8 🟠48.1 🔴44.3    -0.7      ⚪      🔴
  WIFUSDT      🟠46.0 🔴46.1 🔴41.2 🔴39.5 🟠48.3 🟡53.1    -0.3      ⚪      🔴
  WINUSDT      🟠46.3 🔴46.8 🔴41.4 🔴40.4 🟠48.9 🟢61.1    -0.2      ⚪      🔴
  WLDUSDT      🟠48.5 🔴46.7 🔴41.6 🔴39.3 🔴47.4 🟠43.2    -0.8      ⚪      🔴
  WLFIUSDT     🟢61.2 🟢62.8 🟢65.2 🟢63.6 🟡56.1 🔴48.5    +2.5      🔴      🟢
  WOOUSDT      🔴45.8 🔴44.3 🔴39.7 🟠40.9 🟢55.2 🔴43.0    -0.3      ⚪      🔴
  WUSDT        🟡51.6 🔴44.8 🔴40.2 🟠40.8 🟢51.7 🟡49.6    +0.8      🟢      ⚪
  XAIUSDT      🟡51.5 🔴44.1 🔴34.9 🟠36.5 🟠47.9 🔴41.4    -0.8      🔴      🔴
  XAUTUSDT     🟠48.8 🟢55.3 🟢53.9 🟢54.9 🟢65.3 🟡49.9    +2.2      ⚪      🟢
  XECUSDT      🟠48.8 🟡49.4 🔴45.6 🟠45.8 🟢56.1 🔴46.4    +0.5      ⚪      ⚪
